route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
8,Horseshoe Bay,Bowen Island,2018,04,05,20,00,Queen of Capilano,18
30,Duke Point,Tsawwassen,2018,03,29,05,15,Coastal Inspiration,119
1,Swartz Bay,Tsawwassen,2018,04,01,20,00,Coastal Renaissance,96
8,Horseshoe Bay,Bowen Island,2018,03,29,10,15,Queen of Capilano,23
4,Swartz Bay,Fulford Harbour,2018,03,23,17,00,Skeena Queen,28
4,Swartz Bay,Fulford Harbour,2018,03,31,11,00,Skeena Queen,34
30,Tsawwassen,Duke Point,2018,03,12,17,45,Coastal Inspiration,121
3,Horseshoe Bay,Langdale,2018,04,23,17,30,Queen of Cowichan,44
3,Horseshoe Bay,Langdale,2018,04,22,19,50,Queen of Cowichan,38
8,Horseshoe Bay,Bowen Island,2018,04,02,11,25,Queen of Capilano,21
30,Duke Point,Tsawwassen,2018,03,23,17,45,Queen of Alberni,143
2,Departure Bay,Horseshoe Bay,2018,04,02,11,40,Queen of Coquitlam,106
3,Horseshoe Bay,Langdale,2018,03,10,16,20,Queen of Coquitlam,40
1,Tsawwassen,Swartz Bay,2018,04,27,13,00,Spirit of Vancouver Island,106
2,Horseshoe Bay,Departure Bay,2018,04,04,06,15,Queen of Oak Bay,105
1,Tsawwassen,Swartz Bay,2018,03,20,17,00,Spirit of Vancouver Island,98
1,Swartz Bay,Tsawwassen,2018,04,07,21,00,Coastal Renaissance,92
8,Horseshoe Bay,Bowen Island,2018,04,26,17,45,Queen of Capilano,21
8,Horseshoe Bay,Bowen Island,2018,04,01,17,45,Queen of Capilano,19
3,Horseshoe Bay,Langdale,2018,03,17,22,55,Queen of Coquitlam,41
2,Horseshoe Bay,Departure Bay,2018,03,12,15,45,Queen of Oak Bay,107
30,Tsawwassen,Duke Point,2018,03,12,05,15,Queen of Alberni,119
2,Departure Bay,Horseshoe Bay,2018,03,27,10,40,Queen of Cowichan,104
1,Swartz Bay,Tsawwassen,2018,03,27,13,00,Coastal Celebration,94
3,Langdale,Horseshoe Bay,2018,04,02,06,20,Queen of Surrey,42
8,Horseshoe Bay,Bowen Island,2018,03,11,20,00,Queen of Capilano,21
3,Horseshoe Bay,Langdale,2018,04,29,11,55,Queen of Surrey,39
3,Langdale,Horseshoe Bay,2018,04,30,08,40,Queen of Surrey,42
2,Horseshoe Bay,Departure Bay,2018,04,27,08,25,Queen of Cowichan,105
30,Duke Point,Tsawwassen,2018,03,20,07,45,Queen of Alberni,117
4,Swartz Bay,Fulford Harbour,2018,03,24,07,00,Skeena Queen,30
30,Duke Point,Tsawwassen,2018,04,17,15,15,Queen of Coquitlam,123
30,Tsawwassen,Duke Point,2018,04,25,17,45,Queen of Coquitlam,125
1,Swartz Bay,Tsawwassen,2018,03,30,11,00,Spirit of Vancouver Island,94
2,Horseshoe Bay,Departure Bay,2018,04,11,18,35,Queen of Surrey,107
4,Swartz Bay,Fulford Harbour,2018,03,12,13,00,Skeena Queen,30
30,Tsawwassen,Duke Point,2018,04,29,10,15,Queen of Alberni,115
2,Departure Bay,Horseshoe Bay,2018,04,22,06,15,Queen of Cowichan,99
30,Duke Point,Tsawwassen,2018,03,01,22,45,Queen of Alberni,121
2,Horseshoe Bay,Departure Bay,2018,03,16,10,40,Queen of Oak Bay,118
8,Horseshoe Bay,Bowen Island,2018,03,12,11,25,Queen of Capilano,17
8,Horseshoe Bay,Bowen Island,2018,03,08,21,00,Queen of Capilano,18
8,Horseshoe Bay,Bowen Island,2018,04,04,22,00,Queen of Capilano,22
2,Horseshoe Bay,Departure Bay,2018,04,30,10,40,Queen of Oak Bay,104
8,Horseshoe Bay,Bowen Island,2018,03,10,22,00,Queen of Capilano,18
1,Tsawwassen,Swartz Bay,2018,04,07,07,00,Coastal Renaissance,92
1,Tsawwassen,Swartz Bay,2018,04,17,13,00,Spirit of Vancouver Island,98
3,Langdale,Horseshoe Bay,2018,04,15,08,40,Queen of Surrey,42
2,Departure Bay,Horseshoe Bay,2018,03,06,17,55,Queen of Oak Bay,99
1,Tsawwassen,Swartz Bay,2018,04,01,22,00,Coastal Renaissance,78
30,Duke Point,Tsawwassen,2018,03,24,07,45,Queen of Alberni,121
8,Horseshoe Bay,Bowen Island,2018,04,28,15,30,Queen of Capilano,22
1,Swartz Bay,Tsawwassen,2018,03,29,09,00,Coastal Celebration,90
8,Horseshoe Bay,Bowen Island,2018,03,19,14,20,Queen of Capilano,18
3,Horseshoe Bay,Langdale,2018,04,02,11,55,Queen of Surrey,41
1,Tsawwassen,Swartz Bay,2018,03,09,13,00,Spirit of Vancouver Island,88
8,Horseshoe Bay,Bowen Island,2018,03,26,05,50,Queen of Capilano,17
8,Horseshoe Bay,Bowen Island,2018,03,28,17,45,Queen of Capilano,23
2,Departure Bay,Horseshoe Bay,2018,03,24,15,20,Queen of Cowichan,102
1,Swartz Bay,Tsawwassen,2018,03,29,17,00,Coastal Celebration,90
2,Departure Bay,Horseshoe Bay,2018,03,07,13,00,Queen of Oak Bay,106
1,Tsawwassen,Swartz Bay,2018,04,22,19,00,Coastal Renaissance,92
3,Horseshoe Bay,Langdale,2018,04,06,07,30,Queen of Surrey,42
1,Swartz Bay,Tsawwassen,2018,03,22,18,00,Queen of New Westminster,86
2,Horseshoe Bay,Departure Bay,2018,03,12,10,40,Queen of Oak Bay,104
8,Horseshoe Bay,Bowen Island,2018,04,19,20,00,Queen of Capilano,20
8,Horseshoe Bay,Bowen Island,2018,03,09,22,00,Queen of Capilano,18
2,Departure Bay,Horseshoe Bay,2018,04,28,08,25,Queen of Oak Bay,107
1,Tsawwassen,Swartz Bay,2018,03,24,17,00,Spirit of Vancouver Island,94
1,Tsawwassen,Swartz Bay,2018,04,26,15,00,Coastal Renaissance,100
3,Horseshoe Bay,Langdale,2018,04,17,16,20,Queen of Surrey,40
1,Swartz Bay,Tsawwassen,2018,03,27,17,00,Coastal Celebration,92
1,Swartz Bay,Tsawwassen,2018,03,12,11,00,Spirit of Vancouver Island,88
8,Horseshoe Bay,Bowen Island,2018,04,27,11,25,Queen of Capilano,19
1,Swartz Bay,Tsawwassen,2018,03,03,17,00,Coastal Celebration,94
3,Horseshoe Bay,Langdale,2018,03,04,11,55,Queen of Coquitlam,42
4,Swartz Bay,Fulford Harbour,2018,03,30,17,00,Skeena Queen,28
30,Tsawwassen,Duke Point,2018,04,19,05,15,Queen of Alberni,123
30,Tsawwassen,Duke Point,2018,03,08,20,15,Queen of Alberni,127
8,Horseshoe Bay,Bowen Island,2018,03,16,12,35,Queen of Capilano,17
30,Tsawwassen,Duke Point,2018,04,01,22,45,Coastal Inspiration,120
30,Tsawwassen,Duke Point,2018,03,04,10,15,Queen of Alberni,121
1,Tsawwassen,Swartz Bay,2018,03,02,17,00,Spirit of Vancouver Island,98
30,Duke Point,Tsawwassen,2018,03,12,20,15,Coastal Inspiration,121
3,Horseshoe Bay,Langdale,2018,04,08,16,20,Queen of Surrey,46
3,Langdale,Horseshoe Bay,2018,04,23,15,15,Queen of Surrey,41
30,Duke Point,Tsawwassen,2018,03,06,22,45,Queen of Alberni,120
30,Tsawwassen,Duke Point,2018,03,15,15,15,Queen of Alberni,119
30,Duke Point,Tsawwassen,2018,03,28,15,15,Coastal Inspiration,119
3,Langdale,Horseshoe Bay,2018,04,23,13,05,Queen of Surrey,43
1,Swartz Bay,Tsawwassen,2018,03,20,13,00,Coastal Celebration,92
30,Duke Point,Tsawwassen,2018,04,06,10,15,Queen of Coquitlam,121
4,Swartz Bay,Fulford Harbour,2018,04,18,19,00,Skeena Queen,44
30,Tsawwassen,Duke Point,2018,04,23,05,15,Queen of New Westminster,127
8,Horseshoe Bay,Bowen Island,2018,03,09,10,15,Queen of Capilano,20
1,Tsawwassen,Swartz Bay,2018,03,19,09,00,Spirit of Vancouver Island,92
8,Horseshoe Bay,Bowen Island,2018,03,21,17,45,Queen of Capilano,19
4,Swartz Bay,Fulford Harbour,2018,03,25,17,00,Skeena Queen,30
8,Horseshoe Bay,Bowen Island,2018,03,16,15,30,Queen of Capilano,18
30,Duke Point,Tsawwassen,2018,03,12,12,45,Queen of Alberni,118
8,Horseshoe Bay,Bowen Island,2018,03,27,09,05,Queen of Capilano,23
8,Horseshoe Bay,Bowen Island,2018,04,07,14,20,Queen of Capilano,16
2,Departure Bay,Horseshoe Bay,2018,04,01,12,25,Queen of Coquitlam,119
2,Horseshoe Bay,Departure Bay,2018,03,18,08,25,Queen of Cowichan,107
1,Tsawwassen,Swartz Bay,2018,04,26,09,00,Spirit of Vancouver Island,92
30,Duke Point,Tsawwassen,2018,04,18,22,45,Queen of Alberni,120
2,Departure Bay,Horseshoe Bay,2018,03,03,15,20,Queen of Cowichan,104
1,Tsawwassen,Swartz Bay,2018,03,08,13,00,Spirit of Vancouver Island,90
30,Tsawwassen,Duke Point,2018,04,23,15,15,Queen of New Westminster,147
1,Tsawwassen,Swartz Bay,2018,03,12,09,00,Spirit of Vancouver Island,90
8,Horseshoe Bay,Bowen Island,2018,04,18,16,35,Queen of Capilano,27
1,Swartz Bay,Tsawwassen,2018,04,28,21,00,Coastal Renaissance,88
8,Horseshoe Bay,Bowen Island,2018,03,22,22,00,Queen of Capilano,20
3,Langdale,Horseshoe Bay,2018,04,06,17,25,Queen of Surrey,55
8,Horseshoe Bay,Bowen Island,2018,03,15,09,05,Queen of Capilano,25
3,Horseshoe Bay,Langdale,2018,03,24,14,10,Queen of Coquitlam,38
30,Duke Point,Tsawwassen,2018,04,30,07,45,Queen of Alberni,117
3,Horseshoe Bay,Langdale,2018,03,19,07,30,Queen of Coquitlam,40
2,Departure Bay,Horseshoe Bay,2018,03,17,06,15,Queen of Cowichan,105
2,Departure Bay,Horseshoe Bay,2018,04,07,15,20,Queen of Cowichan,102
8,Horseshoe Bay,Bowen Island,2018,03,03,10,15,Queen of Capilano,17
30,Tsawwassen,Duke Point,2018,03,02,22,45,Coastal Inspiration,120
8,Horseshoe Bay,Bowen Island,2018,03,23,06,50,Queen of Capilano,22
2,Horseshoe Bay,Departure Bay,2018,04,11,15,45,Queen of Oak Bay,105
1,Swartz Bay,Tsawwassen,2018,04,15,16,00,Coastal Inspiration,92
8,Horseshoe Bay,Bowen Island,2018,03,26,11,25,Queen of Capilano,17
2,Horseshoe Bay,Departure Bay,2018,03,04,18,35,Queen of Coquitlam,123
30,Duke Point,Tsawwassen,2018,04,10,15,15,Queen of Coquitlam,119
1,Tsawwassen,Swartz Bay,2018,04,02,08,00,Queen of New Westminster,88
3,Horseshoe Bay,Langdale,2018,03,06,11,55,Queen of Coquitlam,41
1,Tsawwassen,Swartz Bay,2018,03,04,07,00,Coastal Celebration,88
2,Departure Bay,Horseshoe Bay,2018,03,21,22,10,Queen of Oak Bay,106
8,Horseshoe Bay,Bowen Island,2018,03,11,10,15,Queen of Capilano,17
1,Swartz Bay,Tsawwassen,2018,03,17,19,00,Spirit of Vancouver Island,90
8,Horseshoe Bay,Bowen Island,2018,04,20,15,30,Queen of Capilano,30
3,Horseshoe Bay,Langdale,2018,03,12,11,55,Queen of Coquitlam,37
8,Horseshoe Bay,Bowen Island,2018,03,01,22,00,Queen of Capilano,19
1,Tsawwassen,Swartz Bay,2018,04,23,19,00,Coastal Renaissance,90
2,Departure Bay,Horseshoe Bay,2018,04,04,10,40,Queen of Cowichan,110
3,Langdale,Horseshoe Bay,2018,04,21,18,40,Queen of Cowichan,38
2,Horseshoe Bay,Departure Bay,2018,03,16,22,10,Queen of Cowichan,105
1,Tsawwassen,Swartz Bay,2018,04,29,21,00,Spirit of Vancouver Island,88
1,Swartz Bay,Tsawwassen,2018,04,05,07,00,Spirit of Vancouver Island,92
1,Tsawwassen,Swartz Bay,2018,03,18,07,00,Coastal Celebration,92
2,Horseshoe Bay,Departure Bay,2018,04,01,10,40,Queen of Oak Bay,105
2,Horseshoe Bay,Departure Bay,2018,03,24,08,25,Queen of Cowichan,103
4,Swartz Bay,Fulford Harbour,2018,03,17,15,00,Skeena Queen,30
1,Swartz Bay,Tsawwassen,2018,03,05,07,00,Spirit of Vancouver Island,88
3,Horseshoe Bay,Langdale,2018,03,25,19,50,Queen of Cowichan,38
30,Duke Point,Tsawwassen,2018,03,03,10,15,Coastal Inspiration,131
1,Swartz Bay,Tsawwassen,2018,04,27,12,00,Coastal Inspiration,90
2,Horseshoe Bay,Departure Bay,2018,04,03,18,35,Queen of Surrey,105
8,Horseshoe Bay,Bowen Island,2018,04,11,15,30,Queen of Capilano,22
30,Tsawwassen,Duke Point,2018,04,14,07,45,Queen of Coquitlam,113
4,Swartz Bay,Fulford Harbour,2018,04,03,19,00,Skeena Queen,34
4,Swartz Bay,Fulford Harbour,2018,03,03,11,00,Skeena Queen,30
1,Swartz Bay,Tsawwassen,2018,03,19,19,00,Spirit of Vancouver Island,90
2,Departure Bay,Horseshoe Bay,2018,04,28,22,10,Queen of Oak Bay,106
30,Duke Point,Tsawwassen,2018,03,02,17,45,Queen of Alberni,115
4,Swartz Bay,Fulford Harbour,2018,03,16,17,00,Skeena Queen,32
8,Horseshoe Bay,Bowen Island,2018,04,21,18,50,Queen of Capilano,24
2,Departure Bay,Horseshoe Bay,2018,04,12,15,20,Queen of Cowichan,106
2,Horseshoe Bay,Departure Bay,2018,03,10,18,35,Queen of Coquitlam,107
3,Langdale,Horseshoe Bay,2018,03,01,08,40,Queen of Coquitlam,38
30,Duke Point,Tsawwassen,2018,04,08,12,45,Queen of Alberni,123
1,Swartz Bay,Tsawwassen,2018,03,15,19,00,Spirit of Vancouver Island,94
1,Swartz Bay,Tsawwassen,2018,04,03,19,00,Spirit of Vancouver Island,90
2,Departure Bay,Horseshoe Bay,2018,04,11,13,00,Queen of Oak Bay,108
30,Tsawwassen,Duke Point,2018,03,02,12,45,Coastal Inspiration,121
30,Tsawwassen,Duke Point,2018,03,23,22,45,Coastal Inspiration,120
30,Tsawwassen,Duke Point,2018,04,26,10,15,Queen of Alberni,119
8,Horseshoe Bay,Bowen Island,2018,03,05,05,50,Queen of Capilano,20
4,Swartz Bay,Fulford Harbour,2018,03,23,21,00,Skeena Queen,28
30,Duke Point,Tsawwassen,2018,03,16,12,45,Queen of Alberni,119
8,Horseshoe Bay,Bowen Island,2018,04,05,17,45,Queen of Capilano,19
8,Horseshoe Bay,Bowen Island,2018,04,21,17,45,Queen of Capilano,17
2,Horseshoe Bay,Departure Bay,2018,03,18,10,40,Queen of Oak Bay,106
1,Tsawwassen,Swartz Bay,2018,03,04,18,00,Coastal Renaissance,88
4,Swartz Bay,Fulford Harbour,2018,03,16,19,00,Skeena Queen,28
30,Duke Point,Tsawwassen,2018,03,27,17,45,Queen of Alberni,119
3,Langdale,Horseshoe Bay,2018,04,02,08,40,Queen of Surrey,38
3,Langdale,Horseshoe Bay,2018,04,15,17,25,Queen of Surrey,53
1,Tsawwassen,Swartz Bay,2018,03,29,08,00,Queen of New Westminster,90
1,Swartz Bay,Tsawwassen,2018,04,22,21,00,Coastal Renaissance,86
1,Swartz Bay,Tsawwassen,2018,03,30,15,00,Spirit of Vancouver Island,92
30,Tsawwassen,Duke Point,2018,04,12,17,45,Queen of Coquitlam,114
1,Swartz Bay,Tsawwassen,2018,04,23,21,00,Coastal Renaissance,84
1,Swartz Bay,Tsawwassen,2018,04,26,13,00,Coastal Renaissance,90
4,Swartz Bay,Fulford Harbour,2018,03,23,07,00,Skeena Queen,28
8,Horseshoe Bay,Bowen Island,2018,03,01,06,50,Queen of Capilano,30
3,Langdale,Horseshoe Bay,2018,04,14,06,20,Queen of Surrey,42
30,Duke Point,Tsawwassen,2018,03,28,10,15,Coastal Inspiration,115
8,Horseshoe Bay,Bowen Island,2018,03,04,05,50,Queen of Capilano,22
30,Duke Point,Tsawwassen,2018,03,02,15,15,Coastal Inspiration,129
3,Horseshoe Bay,Langdale,2018,04,10,11,55,Queen of Surrey,43
2,Horseshoe Bay,Departure Bay,2018,04,12,20,05,Queen of Oak Bay,103
8,Horseshoe Bay,Bowen Island,2018,03,03,14,20,Queen of Capilano,16
2,Horseshoe Bay,Departure Bay,2018,03,17,18,35,Queen of Coquitlam,101
8,Horseshoe Bay,Bowen Island,2018,03,24,06,50,Queen of Capilano,18
8,Horseshoe Bay,Bowen Island,2018,03,27,12,35,Queen of Capilano,17
3,Langdale,Horseshoe Bay,2018,03,09,17,25,Queen of Coquitlam,43
3,Horseshoe Bay,Langdale,2018,03,05,07,30,Queen of Coquitlam,40
3,Langdale,Horseshoe Bay,2018,04,06,20,55,Queen of Cowichan,39
30,Duke Point,Tsawwassen,2018,03,27,15,15,Coastal Inspiration,123
8,Horseshoe Bay,Bowen Island,2018,03,21,21,00,Queen of Capilano,20
3,Langdale,Horseshoe Bay,2018,04,14,13,05,Queen of Surrey,39
1,Swartz Bay,Tsawwassen,2018,04,14,11,00,Spirit of Vancouver Island,94
1,Tsawwassen,Swartz Bay,2018,04,05,13,00,Spirit of Vancouver Island,96
3,Horseshoe Bay,Langdale,2018,04,14,07,30,Queen of Surrey,40
30,Tsawwassen,Duke Point,2018,04,16,10,15,Queen of Alberni,129
8,Horseshoe Bay,Bowen Island,2018,04,08,18,50,Queen of Capilano,18
1,Tsawwassen,Swartz Bay,2018,03,27,21,00,Spirit of Vancouver Island,90
2,Horseshoe Bay,Departure Bay,2018,04,30,13,00,Queen of Cowichan,110
1,Tsawwassen,Swartz Bay,2018,03,21,19,00,Coastal Celebration,88
2,Horseshoe Bay,Departure Bay,2018,03,21,08,25,Queen of Cowichan,105
1,Swartz Bay,Tsawwassen,2018,03,23,07,00,Spirit of Vancouver Island,86
1,Swartz Bay,Tsawwassen,2018,03,01,19,00,Spirit of Vancouver Island,94
2,Departure Bay,Horseshoe Bay,2018,04,13,22,10,Queen of Oak Bay,109
3,Langdale,Horseshoe Bay,2018,04,22,10,50,Queen of Surrey,44
2,Horseshoe Bay,Departure Bay,2018,04,01,22,10,Queen of Cowichan,110
8,Horseshoe Bay,Bowen Island,2018,04,05,22,00,Queen of Capilano,18
8,Horseshoe Bay,Bowen Island,2018,04,21,21,00,Queen of Capilano,17
30,Tsawwassen,Duke Point,2018,03,20,10,15,Queen of Alberni,119
30,Tsawwassen,Duke Point,2018,04,20,07,45,Queen of Coquitlam,131
2,Departure Bay,Horseshoe Bay,2018,03,18,13,00,Queen of Oak Bay,104
30,Duke Point,Tsawwassen,2018,04,08,22,45,Queen of Alberni,120
30,Duke Point,Tsawwassen,2018,04,10,05,15,Queen of Coquitlam,119
3,Horseshoe Bay,Langdale,2018,04,16,19,50,Queen of Cowichan,46
2,Horseshoe Bay,Departure Bay,2018,04,03,10,40,Queen of Oak Bay,104
8,Horseshoe Bay,Bowen Island,2018,04,06,15,30,Queen of Capilano,18
3,Horseshoe Bay,Langdale,2018,03,03,07,30,Queen of Coquitlam,40
30,Duke Point,Tsawwassen,2018,03,21,15,15,Coastal Inspiration,125
2,Departure Bay,Horseshoe Bay,2018,03,28,08,25,Queen of Oak Bay,105
8,Horseshoe Bay,Bowen Island,2018,03,08,14,20,Queen of Capilano,18
30,Tsawwassen,Duke Point,2018,04,27,22,45,Queen of Coquitlam,155
1,Swartz Bay,Tsawwassen,2018,04,20,21,00,Coastal Renaissance,90
30,Duke Point,Tsawwassen,2018,04,07,15,15,Queen of Coquitlam,129
3,Horseshoe Bay,Langdale,2018,03,21,07,30,Queen of Coquitlam,39
2,Horseshoe Bay,Departure Bay,2018,04,09,10,40,Queen of Oak Bay,104
2,Departure Bay,Horseshoe Bay,2018,03,27,13,00,Queen of Oak Bay,108
2,Horseshoe Bay,Departure Bay,2018,03,17,10,40,Queen of Oak Bay,106
8,Horseshoe Bay,Bowen Island,2018,04,05,15,30,Queen of Capilano,18
3,Horseshoe Bay,Langdale,2018,04,04,17,30,Queen of Cowichan,46
1,Swartz Bay,Tsawwassen,2018,03,21,17,00,Coastal Celebration,86
4,Swartz Bay,Fulford Harbour,2018,04,08,15,00,Skeena Queen,30
2,Horseshoe Bay,Departure Bay,2018,03,24,06,15,Queen of Oak Bay,105
4,Swartz Bay,Fulford Harbour,2018,04,03,21,00,Skeena Queen,26
30,Tsawwassen,Duke Point,2018,04,28,07,45,Queen of Coquitlam,123
4,Swartz Bay,Fulford Harbour,2018,04,19,15,00,Skeena Queen,40
8,Horseshoe Bay,Bowen Island,2018,04,30,15,30,Queen of Capilano,18
8,Horseshoe Bay,Bowen Island,2018,03,11,15,30,Queen of Capilano,20
1,Swartz Bay,Tsawwassen,2018,03,07,07,00,Spirit of Vancouver Island,90
3,Langdale,Horseshoe Bay,2018,04,18,20,55,Queen of Cowichan,43
4,Swartz Bay,Fulford Harbour,2018,04,11,15,00,Skeena Queen,36
30,Tsawwassen,Duke Point,2018,03,30,17,45,Coastal Inspiration,119
30,Duke Point,Tsawwassen,2018,03,22,07,45,Queen of Alberni,127
2,Departure Bay,Horseshoe Bay,2018,03,11,17,55,Queen of Oak Bay,109
1,Tsawwassen,Swartz Bay,2018,04,16,14,00,Coastal Inspiration,88
1,Swartz Bay,Tsawwassen,2018,03,18,19,00,Spirit of Vancouver Island,90
8,Horseshoe Bay,Bowen Island,2018,03,20,14,20,Queen of Capilano,18
30,Tsawwassen,Duke Point,2018,03,29,05,15,Queen of Alberni,125
4,Swartz Bay,Fulford Harbour,2018,03,21,07,00,Skeena Queen,34
8,Horseshoe Bay,Bowen Island,2018,03,22,14,20,Queen of Capilano,18
30,Duke Point,Tsawwassen,2018,04,27,23,15,Queen of New Westminster,121
2,Departure Bay,Horseshoe Bay,2018,03,18,06,15,Queen of Cowichan,105
2,Departure Bay,Horseshoe Bay,2018,04,30,15,20,Queen of Cowichan,106
30,Tsawwassen,Duke Point,2018,04,11,12,45,Queen of Coquitlam,109
3,Horseshoe Bay,Langdale,2018,04,10,14,10,Queen of Surrey,42
30,Tsawwassen,Duke Point,2018,03,12,20,15,Queen of Alberni,123
8,Horseshoe Bay,Bowen Island,2018,03,28,11,25,Queen of Capilano,19
8,Horseshoe Bay,Bowen Island,2018,04,01,20,00,Queen of Capilano,20
2,Horseshoe Bay,Departure Bay,2018,03,11,20,05,Queen of Oak Bay,111
4,Swartz Bay,Fulford Harbour,2018,04,30,07,00,Skeena Queen,38
4,Swartz Bay,Fulford Harbour,2018,03,05,19,00,Skeena Queen,30
1,Tsawwassen,Swartz Bay,2018,03,15,21,00,Spirit of Vancouver Island,88
2,Horseshoe Bay,Departure Bay,2018,03,04,22,10,Queen of Cowichan,106
4,Swartz Bay,Fulford Harbour,2018,03,01,15,00,Skeena Queen,32
1,Swartz Bay,Tsawwassen,2018,03,20,21,00,Coastal Celebration,88
3,Langdale,Horseshoe Bay,2018,03,31,13,05,Queen of Surrey,43
3,Langdale,Horseshoe Bay,2018,04,17,18,40,Queen of Cowichan,44
1,Swartz Bay,Tsawwassen,2018,04,11,13,00,Coastal Renaissance,94
30,Tsawwassen,Duke Point,2018,03,25,10,15,Queen of Alberni,117
4,Swartz Bay,Fulford Harbour,2018,04,16,11,00,Skeena Queen,48
30,Duke Point,Tsawwassen,2018,04,05,22,45,Queen of Alberni,120
8,Horseshoe Bay,Bowen Island,2018,03,17,12,35,Queen of Capilano,18
30,Duke Point,Tsawwassen,2018,03,31,05,15,Coastal Inspiration,131
3,Langdale,Horseshoe Bay,2018,04,05,13,05,Queen of Surrey,41
8,Horseshoe Bay,Bowen Island,2018,03,06,06,50,Queen of Capilano,28
1,Swartz Bay,Tsawwassen,2018,04,23,15,00,Spirit of Vancouver Island,92
30,Tsawwassen,Duke Point,2018,04,07,10,15,Queen of Alberni,115
1,Tsawwassen,Swartz Bay,2018,04,13,19,00,Coastal Renaissance,90
2,Horseshoe Bay,Departure Bay,2018,04,28,22,10,Queen of Cowichan,106
4,Swartz Bay,Fulford Harbour,2018,03,06,07,00,Skeena Queen,30
1,Tsawwassen,Swartz Bay,2018,04,08,17,00,Spirit of Vancouver Island,90
2,Departure Bay,Horseshoe Bay,2018,04,15,15,20,Queen of Cowichan,106
1,Tsawwassen,Swartz Bay,2018,04,04,15,00,Coastal Renaissance,94
2,Departure Bay,Horseshoe Bay,2018,03,07,22,10,Queen of Oak Bay,106
3,Langdale,Horseshoe Bay,2018,03,07,20,55,Queen of Cowichan,45
30,Tsawwassen,Duke Point,2018,04,30,15,15,Queen of Alberni,117
3,Horseshoe Bay,Langdale,2018,03,25,09,45,Queen of Coquitlam,39
